DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE
SECNIDAZOLE ANHYDRE,SECNIDOLEX,MICROGRANULE EN SACHET ,2G/SACHET- DOSE,B/01,LISTE I
AMOXICILLINE SODIQUE (AMOXICILLINE),AMOXYPEN,POUDRE EN SOLUTION INJECTABLE,500MG/FL. DE PDRE.,1 FLACON DE POUDRE+1 AMPOULE/5ML DE SOLVANT(ALCOOL BENZYLIQUE 3%) (IM)+50 FLACON DE POUDRE SANS SOLVANT (IM/IV) ,LISTE I
AMOXICILLINE SODIQUE,BIOPAMOX,PDRE P.SOL INJ,1G/FL ,- B/01FL DE PDRE+ 01 AMP DE 5ML DE SOLVANT -B/50FL DE PDRE,Liste I
AMOXICILLINE SODIQUE EXPRIME EN AMOXICILLINE,AMOXYPEN,PDRE. P. SOL. INJ. IM (solvant  LIDOCAINE) ET IM/IV (sans solvant),1G/FL. DE PDRE.,B/1FL. DE PDRE.+1AMP. DE 5ML DE SOLV. (ALCOOL BENZYLIQUE 3%) (IM) ET BOITE DE 50FL. DE PDRE.SANS SOLV.* (IM/IV) ,Liste I
AMOXICILLINE TRIHYDRATEE (AMOXICILLINE),AMOXYPEN,GELLULE,500MG,BOITE/12,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,AMOXAL,GLES.,500MG,B/12,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,AMOXICILLINE EG,PDRE. SUSP. BUV.,125MG/5ML,FL./60ML,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,AMOXAL,PDRE. P. SUSP. BUV.,125MG/5ML,B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST.+GOBELET DOSEUR,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,HIMOXYL,PDRE. P. SUSP. BUV.,250MG/5ML,FL/60ML DE SOL. APRES RECONSTIT AVEC CUILLERE MESURE DE 5 ML,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,AMOXAL,PDRE. P. SUSP. BUV.,250MG/5ML,B/1FL. DE 60ML DE SUSP. BUV. APRES  RECONST.+ GOBELET DOSEUR ,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,AMOXICILLINE EG,PDRE. P. SUSP. BUV.,250MG/5ML,B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST. + UNE CUILLERE-MESURE,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,AMOXIMEX,PDRE. P. SUSP. BUV.,250MG/5ML,FL/60ML DE SUSP. BUV. APRES RECONST.+UNE  CUILLERE MESURE,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,AMOXYPEN,PDRE. P. SUSP. BUV.,250MG/5ML,FL/60ML DE SOL. APRES RECONSTIT.,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,BIOPAMOX,PDRE. P. SUSP. BUV.,250MG/5ML,FL./60ML ET FL./100ML (DE SUSP. BUV. APRES RECONSTITUTION) AVEC UN BOUCHON DOSEUR GRADUE,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,CLAMOXYL,PDRE. P. SUSP.BUV.,250MG/5ML,F/60ML,LISTE I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE SEL DE POTASSIUM EXPRIME EN ACIDE CLAVULANIQUE,CLAVODA R 625,COMPRIME PELLICULE ,500MG/125MG,B/14,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE SEL DE POTASSIUM EXPRIME EN ACIDE CLAVULANIQUE,CLAVODEX ,COMPRIME PELLICULE ,500MG/125MG,B/12,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE SEL DE POTASSIUM EXPRIME EN ACIDE CLAVULANIQUE,KLAVOX,COMP. ENRO.,500MG/125MG,B/20,Liste I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE SEL DE POTASSIUM EXPRIME EN ACIDE CLAVULANIQUE,CLAVODEX ,PDRE.P.SUP.BUV.,"250MG/62,5MG/5ML",B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST.+UNE CUILLERE MESURE,Liste I
AMPICILLINE SODIQUE EXPRIME EN AMPICILLINE,AMPINAX,PDRE. P. SUSP. INJ. IM,1G/FLC,B/1 FLC DE POUDRE + 01 AMPL DE 5ML SOLV.,Liste I
AMPICILLINE SOUS FORME SODIQUE,AMPILINE,PDRE SOL INJ PERF,1G/FLC,1FLC ET 1 AMP SOL 5ML ET B/50 FLC SANS SOLV,LISTE I 
AMPICILLINE TRIHYDRATE EXPRIME EN AMPICILLINE,AMPAL,PDRE. P. SUSP. BUV.,125MG/5ML,B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST.+GOBELET DOSEUR,Liste I
AMPICILLINE TRIHYDRATE EXPRIME EN AMPICILLINE,AMPAL,PDRE. P. SUSP. BUV.,250MG/5ML,FL. DE 60ML DE SUSP. BUV. APRES RECONST.+ GOBELET DOSEUR,Liste I
AMPICILLINE TRIHYDRATE,AMPINAX,GLES,500MG,B/12,
AMPICILLINE TRIHYDRATE EXPRIME EN AMPICILLINE,AMPAL,GLES.,500MG,B/12,Liste I
BENZATHINE BENZYLPENICILLINE,EXTENCINE,PDRE. P. SUSP. INJ. IM,600 000UI/FL. DE PDRE.,B/01 FL. DE PDRE. + 01 AMP. DE 5ML DE SOLV.(EPPI) ET B/50FL. DE PDRE.,Liste I
BENZATHINE BENZYLPENICILLINE,RETARCILINE,POUDRE EN SOLUTION INJECTABLE ,600 000UI/FL. DE PDRE.,B/01+01  ET B/50FL.,LISTE I
BENZATHINE BENZYLPENICILLINE,MMF,PDRE. P. SUSP. INJ. IM,1 200 000UI/FL. DE PDRE.,B/01FL. DE PDRE. + 01AMP. DE 5ML DE SOLV.(EPPI) ET B/50FL. DE PDRE.,Liste I
BENZATHINE BENZYLPENICILLINE,RETARCILINE,POUDRE EN SOLUTION INJECTABLE ,1 200 000UI/FL. DE PDRE.,B/01+01  ET B/50FL.,LISTE I
BENZYLPENICILLINE SODIQUE,PENI G BIOCARE,PDRE. P. SUSP. INJ. IM,1 M.UI/FL. DE PDRE.,B/01 FL. DE PDRE. + 01 AMP. DE 5ML DE SOLV.(EPPI) ET B/50FL. DE PDRE.,Liste I
BENZYLPENICILLINE SODIQUE SOUS FORME SODIQUE,GECTAPEN,POUDRE EN SOLUTION INJECTABLE ,1MUI/FLC,B/FLC DE PDRE ET 1AMP 5ML,LISTE I
OXACILLINE SODIQUE EXPRIME EN OXACILLINE,OXACARE,PDRE. ET SOLV. P. SOL. INJ/IV,1G/FL. DE PDRE.,B/01FL. DE PDRE. + 01AMP. DE 5ML DE SOLV. (EPPI) ET  B/50FL. DE PDRE.,Liste I
PHENOXYMETHYLPENICILLINE POTASSIQUE EXPRIME EN PHENOXYMETHYLPENICILLINE,ORAPEN,PDRE.SUSP.OR.,250 000UI/5ML,FL/60 ML,Liste I
PHENOXYMETHYLPENICILLINE POTASSIQUE EXPRIME EN PHENOXYMETHYLPENICILLINE,ORAPEN,COMPRIME,1000 000UI,B/12 ,Liste I
PHENOXYMETHYLPENICILLINE POTASSIQUE EXPRIME EN PHENOXYMETHYLPENICILLINE,PENIVAL,COMPRIME SECABLE ,1 000 000UI,B/12,Liste I
OXACILLINE SODIQUE EXPRIME EN OXACILLINE,OXADEX,GLES.,500MG,B/12,Liste I
AMOXICILLINE TRIHYDRATEE (AMOXICILLINE)/ACIDE CLAVULANIQUE POTASSIQUE (ACIDE CLAVULANIQUE),AUGMENTIN ENFANT ET AUGMENTIN NOURRISSON ,POUDRE EN SOLUTION BUVABLE ,"100MG/12,5MG/ML",1 FLACON DE POUDRE/30ML+ 1 FLACON DE POUDRE/60ML (APRES RECONSTITUTION) ,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIME EN  AMOXICILLINE/CLAVULANATE DE POTASSIUM EXPRIME EN ACIDE CLAVULANIQUE,BIOCLAV,PDRE. P. SUSP. BUV. ENFANT ,"100MG/12,5MG/ML",B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST. + 1SERING. GRADUEE EN KG,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIME EN  AMOXICILLINE/CLAVULANATE DE POTASSIUM EXPRIME EN ACIDE CLAVULANIQUE,CLAMOXYPEN,PDRE. P. SUSP. BUV. NOURRISSONS ET ENFANTS,"100MG/12,5MG/ML",B/1FLACON DE 30ML  DE SUSP. BUV. APRES RECONST. + SERINGUE DOSEUSE  pour administration  orale graduée en KG (NOURRISSON) ET                                                                                                                                                                                     B/1FLACON DE 60ML  DE SUSP. BUV. APRES RECONST. + SERINGUE DOSEUSE  pour administration  orale graduée en KG (ENFANT) ,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,AMOCLAN 8:1,PDRE. P. SUSP. BUV. ENFANT ET NOURRISSON,"100MG/12,5MG/ML",B/1FL.DE 30ML (NOURRISSON) - B/1FL.DE 60ML (ENFANT) DE SUSP. BUV. APRES RECONST. + PIPETTE GRADUEE,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAMOCLAV ENFANT ET NOURRISSON ,PDRE POUR SUSPENSSION BUVABLE,"100MG/12,5MG/ML",/1FLACON DE 30ML  DE SUSP. BUV. APRES RECONST. +SERING. P. ADMINIST. ORALE GRADUEE EN KG (NOURRISSON) ET                                                                                                                                                                                     B/1FLACON DE 60ML  DE SUSP. BUV. APRES RECONST. +SERING. P. ADMINIST. ORALE GRADUEE EN KG (ENFANT) ,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAVODEX,PDRE. P. SUSP. BUV.,"100MG/12,5MG/ML",FL/60 ML  ET FL/30 ML,Liste I
AMOXICILLINE SODIQUE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,AMOCLAN,PDRE. P. SOL. INJ. IV ,1G/200MG,B/1FL. DE PDRE.,Liste I
AMOXICILLINE SODIQUE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAMOXYPEN,PDRE. SOL. INJ. IV,1G/200MG,B/20FL.,LISTE I 
AMOXICILLINE TRIHYDRATEE (AMOXICILLINE)/ACIDE CLAVULANIQUE POTASSIQUE (ACIDE CLAVULANIQUE),ECOCLAV,PDRE.BUV.,"500MG/62,5MG",B/62 ET B/14,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,AMOCLAN 8:1,PDRE. P. SUSP. BUV. EN SACHET DOSE,"500MG/62,5MG",B/12 ET B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,BIOCLAV 8:1,PDRE. P. SUSP. BUV. EN SACHET DOSE,"500MG/62,5MG",B/12 ET B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAVODEX,PDRE. P. SUSP. BUV. EN SACHET DOSE,"500MG/62,5MG",B/12 ET B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,AUGMENTIN ENFANT,PDRE P.SUSP BUVABLE EN SACHETS DOSE,500MG/62.5MG,B/12,LISTE I
 AMOXICILLINE TRIHYDRATEE (AMOXICILLINE)/CLAVULANATE DE POTASSIUM (ACIDE CLAVULANIQUE),CLAMOXYL,POUDRE EN SOLUTION BUVABLE ,500MG/5ML,FL/60ML,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,AMOXAL,PDRE. P. SUSP. BUV.,500MG/5ML,B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST. + GOBELET DOSEUR,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,AMOXICILLINE EG,PDRE. P. SUSP. BUV.,500MG/5ML,B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST. + UNE CUILLERE-MESURE,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,BIOPAMOX,PDRE. P. SUSP. BUV.,500MG/5ML,B/1FL. DE 60ML DE SUSP. BUV. APRES RECONST. + BOUCHON DOSEUR GRADUE,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,PENAMOX,PDRE P/SUSP BUV ,500MG/5ML ,B/01 FL 60ML APRES RECONSTITUTION+CUILLERE MEUSURE 5ML,LISTE I
AMOXICILLINE TRIHYDRATE EXPRIME EN AMOXICILLINE,SAIFOXYL,COMP. DISPERS.,1G,B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,AMOXAL,COMP. DISPERS.,1G,B/12 ET B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,AMOXICILLINE EG,COMP. DISPERS.,1G,B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,AMOXYPEN,COMP. DISPER.,1G,B/14 - B/16,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,PENAMOX D,COMP. DISPERS. SEC.,1G,B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,BIOCLAV,COMPRIME PELLICULE ,"500MG/62,5MG",B/16 ET B/24,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAVODEX,COMPRIME PELLICULE ,"500MG/62,5MG",B/16 - B/24,Liste I
 AMOXICILLINE TRIHYDRATEE (AMOXICILLINE)/CLAVULANATE DE POTASSIUM (ACIDE CLAVULANIQUE),AMOCLAN BID,POUDRE EN SOLUTION BUVABLE ,400MG/57MG/5ML,B/1FL. DE 35ML ET B/1FL. DE 70ML (DE SUSPENSION BUVABLE APRES RECONSTITUTION) AVEC PIPIETTE GRADUEE EN KG ,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAVODEX DUO,PDRE. P.  SUSP. BUV.,400MG/57MG/5ML,F/70 ML ET F/36 ML+PIPETTE GRADUEE,Liste I
AMOXICILLINE** (SOUS FORME TRIHYDRATEE)/ACIDE CLAVULANIQUE** (SOUS FORME POTASSIQUE),CLAVODAR FORTE 400/57,PDRE. P. SUSP. BUV.,400MG**/57MG**,B/1FL. DE 70ML DE SUSP. BUV. APRES RECONST. + UNE CUILLERE MESURE DE 5ML,Liste I
AMOXICILLINE TRIHYDRAT2E/ACIDE CLAVULANIQUE POTASSIQUE,CLAVODEX DUO,COMPRIME PELLICULE ,875MG/125MG,B/10 ET DE 12,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,AMOCLAN BID,COMPRIME PELLICULE ,875MG/125MG,PILULIER/10,Liste I
AMOXICILLINE** (SOUS FORME TRIHYDRATEE)/ACIDE CLAVULANIQUE** (SOUS FORME POTASSIQUE),CLAVODAR 1G,COMPRIME PELLICULE ,875MG*/125MG*,B/14,Liste I
AMOXICILLINE TRIHYDRATE E EXPRIME EN AMOXICILLINE ANHYDRE,HIMOXYL,PDRE P. SUSP. BUV. EN SACHET-DOSE,1G/SACHET,B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE ,BIOPAMOX,GRANULés POUR SUSPENSION BUVABLE,1G/SACHET,B/08,Liste I
AMOXICILLINE SODIQUE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,AUGMENTIN,POUDRE POUR SUSPENSION BUVABLE,1G/125MG/SACHET,B/12,LISTE I 
AMOXICILLINE TRIHYDRATEE (AMOXICILLINE)/ACIDE CLAVULANIQUE POTASSIQUE (ACIDE CLAVULANIQUE),ECOCLAV,PDRE.BUV.,1G/125MG,B/12 ET B/14,LISTE I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,AMOCLAN 8:1,PDRE P. SUSP. BUV. EN SACHET-DOSE,1G/125MG/SACHET,B/14 ET B/12,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,BIOCLAV 8:1,PDRE P. SUSP. BUV. EN SACHET-DOSE,1G/125MG/SACHET,B/08 - B/12 - B/14,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAMOCLAV ,PDRE P. SUSP. BUV. EN SACHET-DOSE,1G/125MG/SACHET,B/12,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE/ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,CLAVODEX ,PDRE P. SUSP. BUV. EN SACHET-DOSE,1G/125MG/SACHET,B/12SACH.ET B/14,Liste I
AMOXICILLINE/ACIDE CLAVULANIQUE,TABUKLAV,PDRE. ET SOLV. SOL. INJ.,500MG/100MG,B/1FL. DE PDRE + 1AMP. DE 10 ML DE SOLVANT,Liste I
AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,PENAMOX D,COMP. DISPERS. SEC.,500MG,B/12,Liste I
PHENOXYMETHYLPENICILLINE,ORAPEN,COMPRIME SECABLE ,1 500 000UI,B/12,Liste I
PHENOXYMETHYLPENICILLINE POTASSIQUE,PENIVAL,COMPRIME SECABLE ,1 500 000UI,B/12,Liste I
MEROPENEME TRIHYDRATE EXPRIME EN MEROPENEME ,ARCHIFAR,"POUDRE POR SOLU, INJECT OU PERF IV",1G/FL DE PDRE,B/10 FLACONS DE  POUDRE      ,Liste I
MEROPENEME TRIHYDRATE EXPRIME EN MEROPENEME ANHYDRE,MEPRA,"POUDRE POR SOLU, INJECT OU PERF IV",1G/FL DE PDRE,B/10 FLACONS DE 20ML       ,Liste I
MEROPENEME TRIHYDRATE EXPRIME EN MEROPENEME ANHYDRE,MERONEM,PDRE P. SOL INJ IV,1G/FL DE PDRE,B/10 FL DE POUDRE,Liste I
MEROPENEME TRIHYDRATE EXPRIME EN MEROPENEME ANHYDRE,MEPRA,"POUDRE POR SOLU, INJECT OU PERF IV",500MG/FLACON ,B/10FLACONS DE 20 ML,Liste I
LEVOFLOXACINE HEMIHYDRATE EXPRIME EN LEVOFLOXACINE,MATADOR 250,COMPRIME PELLICULE ,250MG,B/07,Liste I
LEVOFLOXACINE HEMIHYDRATE (LEVOFLOXACINE),LOXAMOX         ,COMPRIME PELLICULE SECABLE ,500MG,B/05,LISTE I
LEVOFLOXACINE HEMIHYDRATE EXPRIME EN LEVOFLOXACINE,LEVOFLOX,COMP. PELLI. SEC.,500MG,B/05 ET B/10,Liste I
LEVOFLOXACINE HEMIHYDRATE EXPRIME EN LEVOFLOXACINE,LEVOQUIN,COMP PELL SECABLES,500MG,B/10,Liste I
LEVOFLOXACINE HEMIHYDRATE EXPRIME EN LEVOFLOXACINE,MATADOR 500,COMPRIME PELLICULE ,500MG,B/07,Liste I
NORFLOXACINE,NOROFLOX,COMPRIME PELLICULE,400 MG,BOITE DE 16,LISTE I
NORFLOXACINE ,NORFLOXAL,COMPRIME PELLICULE ,400 MG,B/16,Liste I
LEVOFLOXACINE HEMIHYDRATE EXPRIME EN LEVOFLOXACINE,LEVOFLOXACINE RAZES,SOL. P. PERF. IV,5MG/ML ,FL./100ML (500MG/100ML),Liste I
LEVOFLOXACINE HEMIHYDRATE EXPRIME EN LEVOFLOXACINE,LEVOQUIN,SOLUTION POUR PERFUSION,5MG/ML,BOITE DE 1 FLACON DE 100 ML,Liste I
CIOROFLOXACINE SOUS FORME HYDROCHLORIDE,CIFLOXACINE,SOL INJ P.PERF IV,2MG/ML,B/1 FLACON DE 100ML,Liste I
CIPROFLOXACINE,CIPROFLOXACINE RAZES,SOL INJ P/PERF IV ,2MG/ML (200MG/100ML) (400MG/200ML) ,B/01 DE FL. DE 100ML CAISSE/48 BOITES ;  B/01 DE FL. DE 200ML CAISSE/24 BOITES,Liste I
CIPROFLOXACINE,INDPRO,SOL. INJ. P. PERF. IV,2MG/ML (200MG/100ML),B/1FL. DE 100ML,Liste I
CIPROFLOXACINE CHLORHYDRATE (CIPROFLOXACINE),CIPROFLOXAL,COMPRIME PELLICULE ,250MG,B/10,LISTE I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,CIPROTEK,COMPRIME PELLICULE ,250MG,B/10,Liste I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,FLOCINE,COMPRIME PELLICULE ,250MG,B/10,Liste I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,LOXANAD,COMPRIME PELLICULE ,250MG ,B/10,LISTE I
CIPROFLOXACINE CHLORHYRATE MONOHYDRATE (CIPROFLOXACINE),FLOCINE250,COMPRIME PELLICULE ,250MG,B/10,LISTE I
CIPROFLOXACINE CHLORHYDRATE (CIPROFLOXACINE),CIFLOXACINE,COMP PELL SECABLES,500MG,B/10,Liste I
CIPROFLOXACINE CHLORHYDRATE (CIPROFLOXACINE),CIPRODAR,COMPRIME PELLICULE ,500MG,B/10,LISTE I
CIPROFLOXACINE CHLORHYDRATE (CIPROFLOXACINE),CIPROFLOXACINE BEKER ,COMPRIME PELLICULE SECABLE ,500MG,B/10,LISTE I
CIPROFLOXACINE CHLORHYDRATE (CIPROFLOXACINE),CIPROFLOXAL,COMPRIME PELLICULE ,500MG,B/10,LISTE I
CIPROFLOXACINE CHLORHYDRATE (EXPRIME EN CIPROFLOXACINE),LOXANAD,COMPRIME PELLICULE ,500 MG,B/10,LISTE I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,CIPROFLOXACINE  ZENTIVA,COMPRIME PELLICULE ,500MG,B/10,Liste I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,CIPROTEK,COMPRIME PELLICULE ,500MG,B/10,Liste I
CIPROFLOXACINE CHLORHYRATE MONOHYDRATE (CIPROFLOXACINE),FLOCINE500,COMPRIME PELLICULE SECABLE ,500MG,B/10,LISTE I
CIPROFLOXACINE CHLORHYRATE MONOHYDRATE EXPRIME EN CIPROFLOXACINE,CIPRO 500,COMPRIME PELLICULE ,500MG,B/14,LISTE I 
CIPROFLOXACINE CHLORHYRATE MONOHYDRATE EXPRIME EN CIPROFLOXACINE,FLOCINE,COMP. PELLI.SEC.,500MG,B/10,Liste I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,CIPROFLOXACINE BEKER ,COMPRIME PELLICULE ,750MG,B/10,Liste I
GEMIFLOXACINE MESYLATE EXPRIME EN GEMIFLOXACINE,FACTIVE,COMPRIME,320MG,B/05,Liste I
GEMIFLOXACINE MESYLATE EXPRIME EN GEMIFLOXACINE,GEMIXINE,COMPRIME PELLICULE ,320MG,B/10,Liste I
CIPROFLOXACINE CHLORHYRATE MONOHYDRATE EXPRIME EN CIPROFLOXACINE,QUINOX LP,COMPRIME A LIBERATION PROLONGEE,1G,B/05,Liste I
LEVOFLOXACINE HEMIHYDRATE (LEVOFLOXACINE),LOXAMOX,COMPRIME PELLICULE,750MG,B/05,LISTE I
LEVOFLOXACINE HEMIHYDRATE EXPRIME EN LEVOFLOXACINE,MATADOR 750,COMPRIME PELLICULE ,750MG,B/05,Liste I
SULFAMETHOXAZOLE/TRIMETHOPRIME,BACTISOL ,SUSPENSION BUVABLE,200MG/40MG/5ML,BOITE DE 01 FLACON DE 100ML + CM DE 5ML ,
SULFAMETHOXAZOLE/TRIMETHOPRIME,COTRIM,SUSP.BUV.,200MG/40MG/5ML,F/100ML,Liste I
SULFAMETHOXAZOLE/TRIMETHOPRIME,C-ZOLE,SOL INJ POUR PERF IV ,80 MG/400MG     ( 16MG/ML/80 MG/ML),B/10 AMP DE 5 ML,Liste I
SULFAMETHOXAZOLE/TRIMETHOPRIME,COTRIMOXAL ,COMPRIME,400MG/80MG,B/20,Liste I
SULFAMETHOXAZOLE/TRIMETHOPRIME,COTRIMOXAL FORTE,COMPRIME SECABLE ,800MG/160MG,B/20,Liste I
ACIDE FUSIDIQUE,FUCARE,COMPRIME PELLICULE ,250MG,B/10,Liste I
ACIDE FUSIDIQUE ,FUCIDINE,COMPRIME PELLICULE ,250MG,B/10,LISTE I
ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,FUCIDE,Comprimé pelliculé,250MG,B/10,LISTE I
FUSIDATE DE SODIUM ,FUSIDAC,COMP PELL,250MG,B/10,LISTE I 
ACIDE FUCIDIQUE,FUCIDANE GL,SUSP BUV,250MG/5ML,FL/90ML + CUILLERE MESURE,
ACIDE FUSIDIQUE ,FUCIMED,SUSP.BUV,250MG/5ML,FL/90ML + CUILLERE MESURE,Liste I
ACICLOVIR,ACICLOVIR GL,COMP.,200MG,B/30,LISTE I
ACICLOVIR,CLOVIR,COMPRIME,200MG,B/30,Liste I
ACICLOVIR,CLOVIRAX,COMPRIME,200MG,B/30,Liste I
ACICLOVIR,NOVACLOVIR ,COMPRIME,200MG ,B/25,Liste I
ACICLOVIR,ACICLOVIR MYLAN,PDRE. SOL. INJ. IV,250MG/FL. DE PDRE.,B/05 FL. DE PDRE.,Liste I
LAMIVUDINE,HEPTAVIR-150,COMP PELL SEC,150MG,BOITE DE 1 FL/60,Liste I
LAMIVUDINE,LAMIVUDINE MYLAN,COMPRIME PELLICULE ,150MG,B/60,Liste I
LAMIVUDINE,LAMIVIR,SOL. BUV.,10MG/ML,FL/100ML,Liste I
ZIDOVUDINE,ZIDONE OS ,SOL BUV ,10MG/ML (50MG/5ML),"B/1FL 240 ML + SERINGUE DOSEUSE DE 10 ML + PIPETTE DOSEUSE DE 1,5 ML ",LISTE I
LAMIVUDINE/ZIDOVUDINE,DUOVIR,COMPRIME PELLICULE ,150MG/300MG,B/60,Liste I
LAMIVUDINE/ZIDOVUDINE,LAMIHOPEZ,COMPRIME PELLICULE ,150MG/300MG,B/60,Liste I
LAMIVUDINE/ZIDOVUDINE,ZIDOLAM,COMP. PELL. SEC,150MG/300MG,B/1 FLC DE 60,LISTE I
